taxa,division,genus,fullname,run,label,labelfitms1,labelfitms2,tco2.res,tco2.res.sd,tco2.res.se,abs.res,abs.res.var,abs.res.sd,reps,abs.res.se,tco2.obs,tco2.obs.sd,tco2.obs.se,co2.obs,co2.obs.sd,co2.obs.se,hco3.obs,hco3.obs.sd,hco3.obs.se,co3.obs,co3.obs.sd,co3.obs.sd,tco2.exp.control.ta,tco2.exp.control.ta.sd,tco2.exp.control.ta.se,hco3.exp.control.ta,hco3.exp.control.ta.sd,hco3.exp.control.ta.se,co3.exp.control.ta,co3.exp.control.ta.sd,co3.exp.control.ta.se,co2.exp.control.ta,co2.exp.control.ta.sd,co2.exp.control.ta.se,control.ta.n,tco2.exp.pH.calc,tco2.exp.pH.calc.sd,tco2.exp.pH.calc.se,hco3.exp.pH.calc,hco3.exp.pH.calc.sd,hco3.exp.pH.calc.se,oeratio.hco3.pH.calc,hco3.percent,oeratio.hco3.pH.calc.sd,oeratio.hco3.pH.calc.se,oeratio.co3.pH.calc,oeratio.co3.pH.calc.sd,oeratio.co3.pH.calc.se,oeratio.co2.pH.calc,co2.percent,oeratio.co2.pH.calc.sd,oeratio.co2.pH.calc.se,prop.co2.pH.calc,prop.co2.pH.calc.sd,prop.co2.pH.calc.se,prop.co3.pH.calc,prop.co3.pH.calc.sd,prop.co3.pH.calc.se,prop.hco3.pH.calc,prop.hco3.pH.calc.sd,prop.hco3.pH.calc.se,diff.in.percent.hco3.pH.calc,diff.in.percent.hco3.pH.calc.sd,diff.in.percent.hco3.pH.calc.se,diff.in.percent.co3.pH.calc,diff.in.percent.co3.pH.calc.sd,diff.in.percent.co3.pH.calc.se,diff.in.percent.co2.pH.calc,diff.in.percent.co2.pH.calc.sd,diff.in.percent.co2.pH.calc.se,co3exp.pH.calc,co3.exp.pH.calc.sd,co3.exp.pH.calc.se,co2.exp.pH.calc,co2.exp.pH.calc.sd,co2.exp.pH.calc.se,delta.hco3.pH.calc,Bicarbonate,delta.hco3.pH.calc.sd,delta.hco3.pH.calc.se,delta.hco3.pH.calc.25,Bicarbonate.25,delta.hco3.pH.calc.sd.25,delta.hco3.pH.calc.se.25,delta.co3.pH.calc,Carbonate,delta.co3.pH.calc.sd,delta.co3.pH.calc.se,delta.co3.pH.calc.25,Carbonate.25,delta.co3.pH.calc.sd.25,delta.co3.pH.calc.se.25,delta.co2.pH.calc,CarbonDioxide,delta.co2.pH.calc.sd,delta.co2.pH.calc.se,delta.co2.pH.calc.25,CarbonDioxide.25,delta.co2.pH.calc.sd.25,delta.co2.pH.calc.se.25,pH.calc.n,pH.calc.value,pH.calc.value.sd,pH.calc.value.se,deltapH.calc.drift,pH.48,diff.48,diff.sd.48,diff.se.48,abs.diff.48,abs.diff.sd.48,abs.diff.se.48,estimate.48,diff.36,diff.sd.36,diff.se.36,abs.diff.36,abs.diff.sd.36,abs.diff.se.36,estimate.36,fgroup1,fgroup2,division,divisionfamily,seaweed,bicarb.user.num,bicarb.user.text,pH.drift,pH.drift.sd,pH.drift.se,pH.drift.reps,delta.pH.alk.calc,delta.pH.alk.calc.sd,delta.pH.alk.calc.se,pH.alk,pH.alk.sd,pH.alk.se,type,ta,tase,tadiff,tadiffse,tanorm,zonet,range.limit,range.limit.num,areamass,degas,degas.se
Acrosiphonia,Chlorophyta,Acrosiphonia,Acrosiphonia coalita,13,Ac,Ac,Ac,-458.4578125,65.5441498738,32.7720749369,458.4578125,4296.0355826823,65.5441498738,4,32.7720749369,516.9,53.96498865,26.982494325,0.034217,0.0261691345,0.0130845673,128.05,46.29791212,23.14895606,388.824081,34.9239546483,17.4619773241,975.3578125,75.486912152,9.435864019,242.6328125,79.9962857366,9.9995357171,732.6583749531,16.721584566,2.0901980707,0.06386925,0.0482942334,0.0060367792,64,516.9,48.2677532106,12.0669383027,32.54375,5.8976796285,1.4744199071,3.8896218729,301-500%,0.7699522852,0.3849761426,0.8057311949,0.0630804298,0.0315402149,20.1727863382,>500%,9.9073554253,4.9536777127,0.0064057,0.0039826291,0.0019913146,75.5621116448,6.1954725824,3.0977362912,24.4333301207,6.1919645854,3.0959822927,18.1883904777,5.8267166773,2.9133583387,-18.1926968797,5.8297972281,2.914898614,0.0060998229,0.003945512,0.001972756,484.3552306875,42.4035559973,10.6008889993,0.0016068125,0.0004314026,0.0001078506,79.9811317688,79.9811317688,46.1033126116,11.5258281529,95.50625,95.50625,36.9303212144,9.2325803036,-80.0102673347,-80.0102673347,46.1087532202,11.5271883051,-95.5311496875,-95.5311496875,36.950828033,9.2377070082,0.0157635622,0.0157635622,0.0166289587,0.0041572397,0.0326101875,0.0326101875,0.0231041899,0.0057760475,16,10.3143125,0.0447611718,0.0111902929,-0.2993125,,-0.0066666667,0.0352136337,0.0143759058,0.0277777778,0.0191678743,0.0078252519,y,1.6233333334,0.0499666555,0.0203988017,1.6233333334,0.0499666555,0.0203988017,,filamentous,filamentous,Chlorophyta,Chlorophyta,Green,1,Present,10.015,0.1161895004,0.0290473751,4,-0.6770625,0.1317322687,0.0658661344,9.63725,0.1578382611,0.0789191305,Green,1427.75,46.6608,-799.5,53.5008,1417.05,low/mid,mid,2,96.5669718508,-0.0066666667,0.0143759058
Alaria,Ochrophyta,Alaria,Alaria marginata,11,Am,Am,Am,-45.6733630371,40.7902744018,18.2419652766,53.6148297119,678.2291433754,26.04283286,5,11.6467089203,1204.78,73.6221909481,32.9248447225,0.38,0.1095445115,0.0489897949,583.34,76.8998894668,34.390676062,621.06,19.7796107141,8.845710825,1250.4533630371,45.3145171601,5.0663170369,604.7610949375,61.1109129346,6.8324077744,645.2751025275,23.2969037866,2.6046730266,0.4146667555,0.0891162692,0.0099635018,80,1204.78,66.9754067061,12.2279803503,514.67,98.8560086605,18.0485552961,1.1491281257,111-300%,0.0895797768,0.0400612941,0.9024308554,0.0532839174,0.0238292923,1.4101954376,111-300%,0.3290367282,0.1471496983,0.0312144771,0.006984134,0.0031233997,51.7117951255,3.4569519252,1.5459959,48.2569864269,3.4495491433,1.5426852752,5.8497630459,3.2845214147,1.4688826314,-5.8572198886,3.2903297096,1.4714801798,0.0074850854,0.0059049362,0.0026407677,689.8179594667,32.8600920029,5.9994045439,0.2916602,0.1290433464,0.0235599839,76.0615332208,76.0615332208,45.2109609316,9.0421921863,68.67,68.67,37.9727138877,6.932837322,-76.1449664675,-76.1449664675,45.2778006398,9.055560128,-68.7579594667,-68.7579594667,38.0437888427,6.945813774,0.0904322732,0.0904322732,0.0545925517,0.0109185103,0.0883398,0.0883398,0.0705134207,0.0128739304,30,9.2706,0.1051595176,0.0191994133,0.1494,,0.1283333333,0.1649747455,0.0673506578,0.1616666667,0.1249666622,0.0510174262,n,0.542,0.2074608397,0.0846955331,0.542,0.2074608397,0.0846955331,,thick leathery,course branch,Phaeophyta,Phaeophyta,Brown,1,Present,9.42,0.0339116499,0.00678233,5,-0.1042,0.0633387498,0.02832595,9.1664,0.0665680103,0.0297701192,Brown,2160,27.6912,-103.8333333333,33.4012,2112.7166666667,low/mid,mid,2,NA,0.1283333333,0.0673506578
Callithamnion,Rhodophyta,Callithamnion,Callithamnion pikeanum,10,Cp,Cp,,-5.258412679,172.9061705223,99.8274240956,131.28865153,4082.9551297114,63.8980056787,3,36.8915307793,1817.1666666667,221.0647265697,127.6317793933,6.2333333333,2.315887159,1.3370780747,1528.4666666667,228.0849914688,131.6849312226,282.4,34.1439599344,19.7130244593,1822.4250793457,60.4258792791,8.721724417,1530.7618240833,90.1811235031,13.0165239826,285.4741043042,35.5202839548,5.1269113757,6.1891436474,1.5809624511,0.2281922742,48,1817.1666666667,185.731520338,43.7773391704,1541,301.6221594293,71.0930247629,1.0075914148,<110%,0.0885741112,0.0511382869,1.2527576217,0.4564334755,0.2635219899,1.0381326769,<110%,0.6674157661,0.3853326722,0.3372637625,0.0760595983,0.0439130295,15.729443641,2.3947604204,1.3826155733,83.929854836,2.3172831661,1.3378840598,-0.0562959709,6.8577423358,3.9593193836,0.1949038498,7.0567276923,4.0742036327,-0.141767263,0.221342788,0.1277923182,266.9777777778,122.0719390386,28.7726319623,9.1833333333,5.9883465262,1.4114668123,-12.1371740652,-12.1371740652,139.6956028932,46.5652009644,-12.5333333333,-12.5333333333,116.217503997,27.3927283896,14.6262944279,14.6262944279,143.3995658237,47.7998552746,15.4222222222,15.4222222222,119.902546485,28.2613012337,-2.5423788545,-2.5423788545,4.1144633491,1.371487783,-2.95,-2.95,4.1582306758,0.9801043695,18,8.3414444444,0.2851142644,0.0672020766,0.2585555556,,0.0421428571,0.0657556805,0.0248533111,0.0564285714,0.051777914,0.019570212,n,0.19,0.040824829,0.0204124145,0.19,0.040824829,0.0204124145,,course branch,filamentous,Rhodophyta,Rhodophyta,Red,0,Absent,8.6,0.0608276253,0.0202758751,3,0.0625555556,0.2606362052,0.1504783832,8.404,0.0973704267,0.0562168421,Red,2221.6667,116.3563,24.0000333333,125.4163,2240.5500333333,low/mid,mid,2,87.326276522,0.0421428571,0.0248533111
Codium setchelli,Chlorophyta,Codium,Codium setchellii,10,Cs,Cs,,-1.0642672221,42.3531669597,17.290608007,28.8051704407,799.4645362431,28.2748039117,6,11.5431403601,1707.2666666667,50.4227594115,20.5850053302,3.7019828333,0.7333798625,0.2994010751,1342.55,72.6358244945,29.6534511763,361.0567001667,35.990422029,14.6930282664,1708.3309338888,51.2927443218,5.2350437956,1343.6687736979,74.7926739233,7.6334953171,360.9532047,29.3714842256,2.9977145559,3.7089609409,0.6980204802,0.0712414169,96,1707.2666666667,46.6824041491,7.7804006915,1364.4416666667,77.8830969191,12.9805161532,0.9846930859,<110%,0.0270465237,0.0110416971,1.0724965045,0.113114069,0.0461786253,0.920928468,<110%,0.1489481312,0.0608078199,0.2162298477,0.0353533072,0.0144329272,21.1853039058,2.2431176638,0.9157489516,78.6009002245,2.209005879,0.9018228737,-1.2573082004,2.1560407808,0.8801999629,1.2828823766,2.1910605705,0.8944967322,-0.0224956083,0.0355029999,0.014494039,338.7194444444,33.9415112,5.6569185333,4.0944444444,0.8582189013,0.1430364835,-22.2828040898,-22.2828040898,37.2936499068,6.2156083178,-21.8916666667,-21.8916666667,36.7465557181,6.124425953,22.6528720944,22.6528720944,37.7726874074,6.2954479012,22.3372557222,22.3372557222,37.3491034257,6.2248505709,-0.3367622984,-0.3367622984,0.4955727598,0.08259546,-0.3924616111,-0.3924616111,0.6094381308,0.1015730218,36,8.5295555556,0.0679564753,0.0113260792,0.1237777777,,0.0716666667,0.0585377371,0.0238979311,0.0716666667,0.0585377371,0.0238979311,n,,,,,,,,crustose,crustose,Chlorophyta,Chlorophyta,Green,0,Absent,8.6533333333,0.0786553664,0.0131092277,6,0.0349444444,0.0566736924,0.023136938,8.5645,0.0632700561,0.0258298922,Green,2229,21,31.3333333333,30.06,2247.8833333333,low/mid,mid,2,25.0248080762,0.0716666667,0.0238979311
Corallina frondescens,Rhodophyta,Corallina,Corallina frondescens,13,Cf,Cf,,-711.2085900879,70.6004279279,31.5734712175,711.2085900879,4984.4204236013,70.6004279279,5,31.5734712175,452.74,50.9175117224,22.7710034913,0.08,0.0447213595,0.02,183.32,36.7469318447,16.4337275139,269.36,29.4724108278,13.1804628143,1148.8192452567,55.5616094447,6.6408825189,452.5257523871,69.5152427827,8.3086606959,696.0719609743,21.1391890711,2.5266163556,0.2215216107,0.0748457973,0.0089457838,70,452.4090909091,44.4573515169,9.4783391907,24.85,4.9254199724,1.0501030665,7.5641672702,>500%,1.0982152605,0.4911367953,0.6241302261,0.0547440975,0.0244823047,15.4782788154,>500%,7.4682371732,3.3398971983,0.0177456395,0.0087037342,0.0038924283,59.0149897583,5.2311257286,2.3394305456,40.971525633,5.2239659573,2.3362285985,35.524520602,5.1717897619,2.3128946946,-35.5368679942,5.1804016192,2.3167460343,0.0177456395,0.0087037342,0.0038924283,427.5545454545,39.6062853029,8.4440883988,0,0,0,152.7130175537,152.7130175537,38.0994012569,7.6198802514,161.3318181818,161.3318181818,30.2079205376,6.4403502982,-152.749548069,-152.749548069,38.1309040047,7.6261808009,-161.3909090909,-161.3909090909,30.2549470035,6.4503763744,0.0600524504,0.0600524504,0.0291911873,0.0058382375,0.0818181818,0.0818181818,0.0394771017,0.0084165464,22,10.3738181818,0.0395482061,0.0084317059,-0.7858181818,,0.055,NA,NA,0.055,NA,NA,y,,,,,,,,articulated calcareous,articulated calcareous,Rhodophyta,Corallinaceae,Red calcifying,1,Present,9.588,0.0683373983,0.0136674797,5,-1.0674181818,0.0974199743,0.043567537,9.3064,0.1028557242,0.0459984782,Red calcifying,1105.6,33.2259,-1169.9,40.0659,1046.65,mid,high,3,45.7236297224,0.055,NA
Corallina vancouveriensis,Rhodophyta,Corallina,Corallina vancouveriensis,11,Cv,Cv,Cv,-710.9740122478,68.5498651334,27.9853652522,710.9740122478,4699.0840098005,68.5498651334,6,27.9853652522,671.8833333333,21.5366122375,8.7922851283,0.4166666667,0.1602081979,0.0654047229,393.8166666667,44.4107832251,18.1306263298,277.6166666667,33.1710968566,13.5420435845,1382.8573455811,74.4459434258,7.5981072839,812.9938069865,114.7744446771,11.7141177071,568.9738574198,44.6055968168,4.5525396614,0.889681289,0.3574956982,0.0364867519,96,671.8833333333,19.9390284904,3.3231714151,57.1041663517,4.6077825393,0.7679637566,6.9011148152,>500%,0.5040805132,0.2057900078,0.4522362969,0.054173931,0.0221164147,89.2170600116,>500%,41.8498483968,17.0851290642,0.0617577303,0.021053106,0.0085948945,41.3961472036,5.0497613374,2.0615564332,58.537310097,5.0245481186,2.0512631798,50.0504670796,4.8194263453,1.9675225665,-50.1164249731,4.8444947862,1.9777567146,0.0615762365,0.0208275527,0.0085028128,614.7751633454,15.4746547803,2.5791091301,0.0012336575,0.0018902811,0.0003150469,357.5942517867,357.5942517867,45.5557376526,7.5926229421,336.712500315,336.712500315,38.1297953224,6.3549658871,-357.9013497004,-357.9013497004,45.6952638151,7.6158773025,-337.1584966787,-337.1584966787,38.3074871373,6.3845811896,0.3326475527,0.3326475527,0.1394265498,0.0232377583,0.4154330092,0.4154330092,0.1468029164,0.0244671527,36,10.1694751184,0.025621356,0.004270226,-0.8344751184,,-0.065,0.0747663026,0.0305232152,0.0916666667,0.0240138849,0.0098036274,n,0.1886666667,0.323213036,0.1319511694,0.214,0.3036866806,0.1239795682,,articulated calcareous,articulated calcareous,Rhodophyta,Corallinaceae,Red calcifying,1,Present,9.335,0.0524404424,0.0087400737,6,-1.1858084517,0.0896060398,0.0365815126,8.9836666667,0.1003387595,0.0409631271,Red calcifying,1228.1667,23.1753,-1035.6666333333,28.8853,1180.8833666667,low/mid,mid,2,NA,-0.065,0.0305232152
Cryptopleura,Rhodophyta,Cryptopleura,Cryptopleura ruprechtiana,13,Cr,Cr,Cr,-250.6704813639,61.0502639921,35.2473863499,250.6704813639,3727.1347335032,61.0502639921,3,35.2473863499,1686.6666666667,57.8305570899,33.3884877033,8.9333333333,1.0503967504,0.6064468466,1494.9333333333,54.7717384545,31.6224779407,182.7333333333,17.0124464241,9.8221405225,1937.3371480306,35.8976749582,5.1813830751,1717.2425878542,41.5729101054,6.0005327101,209.7905330188,13.4623828427,1.9431275895,10.3040163459,1.0004641538,0.1444045621,48,1686.6666666667,49.3180647953,14.2368989927,1309.9411268808,81.6130212851,23.5596499042,1.1434056025,111-300%,0.0400590858,0.023128124,0.493843826,0.0632223593,0.0365014462,2.7059223245,111-300%,0.5690462588,0.3285390107,0.5294897495,0.048197461,0.0278268171,10.8354878354,0.8192293871,0.4729823072,88.6310045851,0.7729578999,0.4462674516,11.0351208087,2.6902794923,1.5532335891,-11.3668687661,2.7354804453,1.5793303714,0.3277302659,0.055150918,0.0318413974,373.3063923673,33.7420996004,9.7405051437,3.4191460403,0.7117827519,0.2054739817,187.3725299747,187.3725299747,46.1881264241,15.3960421414,184.9922064526,184.9922064526,39.6112199134,11.43477424,-192.1121038383,-192.1121038383,46.7811275658,15.5937091886,-190.5730590339,-190.5730590339,40.2222473235,11.6111626598,4.7329093013,4.7329093013,0.8330798029,0.2776932676,5.5141872931,5.5141872931,0.8430569821,0.2433695878,12,8.5900940895,0.0661063956,0.0190832726,-0.1625940895,,0.085,0.0275680975,0.0112546287,0.085,0.0275680975,0.0112546287,y,0.1833333333,0.0355902608,0.0145296631,0.1833333333,0.0355902608,0.0145296631,,course branch,course branch,Rhodophyta,Rhodophyta,Red,0,Absent,8.4275,0.118988795,0.0297471987,4,-0.3677607562,0.0834314458,0.0481691677,8.2223333333,0.0421465697,0.0243333333,Red,1963,28.6793,-264.25,35.5193,1952.3,low,low,1,290.3109166203,0.085,0.0112546287
Dilsea,Rhodophyta,Dilsea,Dilsea pygmaea,10,Dc,Dc,,-105.2654724121,195.2048651935,138.0306838989,138.0306838989,22161.6393642852,148.8678587348,2,105.2654724121,1123.25,164.9680120508,116.65,0.3,0,0,519.45,47.5882863739,33.65,603.45,117.4504363551,83.05,1228.5154724121,30.5819672573,5.4061791074,570.8457846625,34.414992586,6.083768658,657.3065585344,16.1040093642,2.8468135564,0.3631218579,0.0483061663,0.0085394044,32,1123.25,121.8369514034,35.171298345,447.4517424901,170.3159577132,49.1659820165,1.3074209287,111-300%,0.4208931876,0.2976164271,0.9062408976,0.1941781757,0.1373047048,2.1896567529,111-300%,1.5759495474,1.1143646118,0.0269993989,0.0029285773,0.0020708169,53.5330781677,1.9158535973,1.3547130704,46.434955217,1.9077369316,1.3489737211,7.685009242,12.8735810651,9.1029964693,-7.6954908721,12.8956736726,9.1186183018,0.0055148742,0.0169444336,0.0119815239,675.5413828303,49.8388687072,14.3872421321,0.2568711331,0.1838531798,0.0530738414,83.1810379819,83.1810379819,205.6725964417,102.8362982209,71.9982575099,71.9982575099,135.293004648,39.0557263265,-83.2557699686,-83.2557699686,205.8916848006,102.9458424003,-72.0913828303,-72.0913828303,135.5286075364,39.123739022,0.0556082701,0.0556082701,0.2037583353,0.1018791676,0.0431288669,0.0431288669,0.1838531798,0.0530738414,12,9.3448830446,0.205029484,0.0591869139,-0.0298830446,,0.2,0.1060660172,0.075,0.2,0.1060660172,0.075,n,,,,,,,,sheet group,course branch,Rhodophyta,Rhodophyta,Red,1,Present,9.315,0.0070710678,0.0035355339,2,-0.1468830446,0.3213219742,0.2272089469,9.198,0.045254834,0.032,Red,2071,210,-126.6666666667,219.06,2089.8833333333,low,low,1,176.7770607057,0.2,0.075
Endocladia,Rhodophyta,Endocladia,Endocladia muricata,10,Em,Em,Em,-67.3744733175,24.4214193508,9.9700027007,67.3744733175,596.4057231092,24.4214193508,6,9.9700027007,1261.1,33.5955949493,13.7153442052,0.6102568333,0.1019713709,0.0416296379,688.95,47.0823427624,19.2212859438,571.5301345,23.3893181556,9.5486491522,1328.4744733175,37.2560130652,3.8024259108,725.9097463115,48.427067188,4.9425668479,601.9215041083,20.0372681615,2.0450451181,0.643218439,0.10043815,0.0102509258,96,1261.1,31.1034770679,5.1839128447,643.0534783921,50.3989048933,8.3998174822,1.0733161028,<110%,0.0449554963,0.0183530045,0.9263332945,0.0413180041,0.0168680045,1.2527048774,111-300%,0.1621222663,0.0661861381,0.0482749126,0.0065133569,0.0026590668,45.3605479939,2.3466610329,0.958020355,54.5904692604,2.3391190564,0.954941356,3.6597881108,2.1441541632,0.8753472716,-3.6697527549,2.1477804336,0.8768276903,0.0092538409,0.0052780739,0.0021547647,617.552595879,22.3839555087,3.7306592514,0.4939629076,0.0974195126,0.0162365854,49.4051292571,49.4051292571,26.1601805523,4.3600300921,45.8965216079,45.8965216079,26.5089173234,4.4181528872,-49.4985656067,-49.4985656067,26.2178289176,4.3696381529,-46.022461379,-46.022461379,26.5547098686,4.4257849781,0.0968731151,0.0968731151,0.0511475539,0.0085245923,0.1162939257,0.1162939257,0.065805715,0.0109676192,36,9.1195170614,0.0483536012,0.0080589335,0.0971496053,,0.0366666667,0.1570244142,0.0641049487,0.125,0.0867179336,0.0354024481,n,1.225,0.1019149973,0.0416066234,1.225,0.1019149973,0.0416066234,,course branch,filamentous,Rhodophyta,Rhodophyta,Red,1,Present,9.2166666667,0.0605530071,0.0100921678,6,-0.0640170614,0.0344941387,0.0140821732,9.0555,0.0443745423,0.018115831,Red,2132.1667,14.2908,-65.4999666667,23.3508,2151.0500333333,mid/high,high,3,85.9277544392,0.0366666667,0.0641049487
Fucus,Ochrophyta,Fucus,Fucus gardneri,12,Fg,Fg,Fg,-238.4113444011,264.8884626756,132.4442313378,316.0245381673,12790.5115456374,113.0951437757,4,56.5475718878,850.675,230.4896147335,115.2448073668,0.095751,0.0165282206,0.0082641103,267.525,46.097026296,23.048513148,583.05272975,188.4938547545,94.2469273773,1089.0863444011,39.1333289455,7.9880573211,350.1739858833,48.8328013458,9.967953834,738.78680885,13.1414798597,2.6824933434,0.1255363456,0.0368320765,0.0075183161,24,850.675,203.9030380182,41.6215333457,179.6525038732,187.2953866425,38.2315107043,2.6741156047,111-300%,1.2203684634,0.6101842317,0.8637321157,0.2213157468,0.1106578734,12.0870847916,>500%,7.663908121,3.8319540605,0.0117967425,0.0031069527,0.0015534763,67.947950492,3.3463087722,1.6731543861,32.0407447871,3.3472131299,1.673606565,14.1235075692,16.6285559801,8.31427799,-14.1287165604,16.6371535133,8.3185767567,0.0057035695,0.0118157841,0.0059078921,670.9524465147,18.2060548659,3.7162953875,0.0700223651,0.1133793621,0.0231434654,84.3218830919,84.3218830919,182.0995310716,45.5248827679,87.8724961268,87.8724961268,149.8574018183,30.5895140528,-84.3141638975,-84.3141638975,182.1645910954,45.5411477738,-87.8997167647,-87.8997167647,149.9409192074,30.6065619685,0.0068510309,0.0068510309,0.0940223178,0.0235055795,0.0257286349,0.0257286349,0.1149737407,0.0234689166,24,9.8760312398,0.3562862876,0.0727266339,0.0164687602,,-0.053,0.1307853769,0.0413579676,0.0736666667,0.1191476934,0.0376778089,n,,,,,,,,thick leathery,course branch,Phaeophyta,Phaeophyta,Brown,1,Present,9.8925,0.0359397644,0.0089849411,4,-0.4232812398,0.4636598277,0.2318299138,9.45275,0.0754381645,0.0377190823,Brown,1881.5,221.93,-394,229.53,1822.55,mid/high,high,3,NA,-0.053,0.0413579676
